vehicle_id,dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
262,F,NEW,37,94844,2024,Lincoln,Aviator,0,A,Gas,0
263,I,NEW,106,93345,2024,Lincoln,Aviator,0,A,Gas,0
264,I,NEW,56,93345,2024,Lincoln,Aviator,0,A,Gas,0
265,I,NEW,359,52770,2024,Lincoln,Corsair,0,A,Gas,0
266,I,NEW,16,59045,2024,Lincoln,Corsair,0,A,Gas,0
267,I,NEW,3702,59695,2024,Lincoln,Corsair,0,A,Gas,3
268,I,NEW,10,61070,2024,Lincoln,Corsair,0,A,Gas,0
269,I,NEW,1738,61995,2024,Lincoln,Corsair,0,A,Gas,1
270,I,NEW,13,62270,2024,Lincoln,Corsair,0,A,Gas,0
271,I,NEW,5,65895,2024,Lincoln,Corsair,0,A,Gas,1
272,I,NEW,4,66520,2024,Lincoln,Corsair,0,A,Gas,0
273,I,NEW,10,67620,2024,Lincoln,Corsair,0,A,Gas,0
274,I,NEW,989,69870,2024,Lincoln,Corsair,0,A,Gas,1
275,I,NEW,2143,71770,2024,Lincoln,Corsair,0,A,Gas,1
276,I,NEW,5,75020,2024,Lincoln,Corsair,0,A,Gas,0
277,I,NEW,359,52770,2024,Lincoln,Corsair,0,A,Gas,0
278,I,NEW,16,59045,2024,Lincoln,Corsair,0,A,Gas,0
279,I,NEW,3702,59695,2024,Lincoln,Corsair,0,A,Gas,0
280,I,NEW,10,61070,2024,Lincoln,Corsair,0,A,Gas,0
281,I,NEW,1738,61995,2024,Lincoln,Corsair,0,A,Gas,0
282,I,NEW,13,62270,2024,Lincoln,Corsair,0,A,Gas,0
283,I,NEW,5,65895,2024,Lincoln,Corsair,0,A,Gas,1
284,I,NEW,4,66520,2024,Lincoln,Corsair,0,A,Gas,0
285,I,NEW,10,67620,2024,Lincoln,Corsair,0,A,Gas,0
286,I,NEW,989,69870,2024,Lincoln,Corsair,0,A,Gas,1
287,I,NEW,2143,71770,2024,Lincoln,Corsair,0,A,Gas,1
288,I,NEW,5,75020,2024,Lincoln,Corsair,0,A,Gas,0
289,F,NEW,20,62619,2024,Lincoln,Corsair,0,A,Gas,0
290,F,NEW,3,63069,2024,Lincoln,Corsair,0,A,Gas,0
291,F,NEW,12,68034,2024,Lincoln,Corsair,0,A,PHEV,6
292,F,NEW,17,64569,2024,Lincoln,Corsair,0,A,Gas,0
293,F,NEW,102,66619,2024,Lincoln,Corsair,0,A,Gas,0
294,F,NEW,34,66619,2024,Lincoln,Corsair,0,A,Gas,0
295,F,NEW,17,66619,2024,Lincoln,Corsair,0,A,Gas,0
